Time,Dec_FC_En,AFR_Target,T_Air,SA,RPM,TPS_AD,TPS_indx,Volt_Batt,Inj_Angle,T_Eng,TPS_Percent,Cyl1_Comn_FuelPW,Cyl1_Eng_AP,NBO2_Volt,Vehicle_Speed,Inst_Fuel_Consump,Acc_Fuel_Mult,NBO2_AD,Cyl1_Final_VM,Idle_Desir_RPM,Cyl1_Injector_Period_Rate,TimeCount,PH_GPS_Altitude,PH_GPS_Speed
0.0,0.0,12.8,32.0,3.0,1916.0,140.0,0.0,12.9,0.0,88.0,0.0,2.936,49.4,387.25,0.0,0.0,0.0,79.0,171.0,1776.0,4.69,945.3,17.1,2.0
100.0,0.0,12.8,32.0,2.0,1959.0,140.0,0.0,12.9,0.0,88.0,0.0,2.884,48.9,387.25,0.0,0.0,0.0,79.0,169.0,1776.0,4.69,140.6,17.1,2.0
200.0,0.0,12.8,32.0,2.0,1920.0,140.0,0.0,13.0,0.0,88.0,0.0,2.884,48.9,382.35,0.0,0.0,0.0,78.0,167.0,1776.0,4.69,234.4,17.1,2.0
300.0,0.0,12.8,32.0,2.0,1941.0,140.0,0.0,13.0,0.0,88.0,0.0,2.936,49.4,387.25,0.0,0.0,0.0,79.0,171.0,1776.0,4.69,335.9,17.1,2.0
400.0,0.0,12.8,32.0,2.0,1930.0,140.0,0.0,13.0,0.0,88.0,0.0,2.884,48.9,382.35,0.0,0.0,0.0,78.0,169.0,1776.0,4.3,429.7,17.1,2.0
500.0,0.0,12.8,32.0,2.0,1969.0,139.0,0.0,12.9,0.0,88.0,0.0,2.884,48.9,382.35,0.0,0.0,0.0,78.0,169.0,1776.0,4.69,531.2,17.0,2.0
600.0,0.0,12.8,32.0,2.0,1951.0,139.0,0.0,13.0,0.0,88.0,0.0,2.884,48.9,382.35,0.0,0.0,0.0,78.0,169.0,1776.0,4.69,625.0,17.0,2.0
700.0,0.0,12.8,32.0,2.0,1927.0,139.0,0.0,12.9,0.0,88.0,0.0,2.884,48.9,382.35,0.0,0.0,0.0,78.0,167.0,1776.0,4.69,726.6,17.0,2.0
800.0,0.0,12.8,32.0,2.0,1960.0,140.0,0.0,13.0,0.0,88.0,0.0,2.884,48.9,382.35,0.0,0.0,0.0,78.0,169.0,1776.0,4.69,820.3,17.0,2.0
900.0,0.0,12.8,32.0,2.0,1917.0,140.0,0.0,13.0,0.0,88.0,0.0,2.884,48.9,387.25,0.0,0.0,0.0,79.0,169.0,1776.0,4.3,921.9,17.0,2.0
