Time,AFR_Target,T_Air,SA,RPM,TPS_AD,TPS_indx,Volt_Batt,Inj_Angle,T_Eng,TPS_Percent,Cyl1_Comn_FuelPW,Cyl1_Eng_AP,NBO2_Volt,Inst_Fuel_Consump,Avg_Fuel_Consump,Acc_Fuel_Mult,NBO2_AD,Cyl1_Final_VM,Idle_Desir_RPM,Cyl1_Injector_Period_Rate,TimeCount,PH_GPS_Altitude,PH_GPS_Speed
1000.0,12.7,29.0,8.0,1865.0,54.0,1.0,12.9,0.0,78.0,0.4,2.52,48.7,382.35,0.0,0.0,0.0,78.0,148.0,1824.0,3.91,640.6,16.7,0.0
1100.0,12.7,29.0,6.0,1808.0,54.0,1.0,12.9,0.0,78.0,0.4,2.52,48.2,382.35,0.0,0.0,0.0,78.0,146.0,1824.0,3.91,835.9,16.7,0.0
1200.0,12.7,29.0,6.0,1808.0,54.0,1.0,12.9,0.0,78.0,0.4,2.52,48.2,382.35,0.0,0.0,0.0,78.0,146.0,1824.0,3.91,835.9,16.7,0.0
1300.0,12.7,29.0,9.0,1792.0,54.0,1.0,13.0,0.0,78.0,0.4,2.468,48.2,382.35,0.0,0.0,0.0,78.0,145.0,1824.0,3.52,31.2,16.7,0.0
1400.0,12.7,29.0,6.0,1814.0,54.0,1.0,12.9,0.0,78.0,0.4,2.468,48.2,382.35,0.0,0.0,0.0,78.0,147.0,1824.0,3.52,132.8,16.8,0.0
1500.0,12.7,29.0,8.0,1846.0,53.0,1.0,12.9,0.0,78.0,0.4,2.484,48.2,382.35,0.0,0.0,0.0,78.0,145.0,1824.0,3.52,226.6,16.8,0.0
1600.0,12.7,29.0,9.0,1799.0,54.0,1.0,12.9,0.0,78.0,0.4,2.484,48.2,382.35,0.0,0.0,0.0,78.0,147.0,1824.0,3.52,328.1,16.8,0.0
1700.0,12.7,29.0,8.0,1796.0,53.0,1.0,12.9,0.0,78.0,0.4,2.52,48.7,382.35,0.0,0.0,0.0,78.0,147.0,1824.0,3.91,421.9,16.8,0.0
1800.0,12.7,29.0,5.0,1878.0,54.0,1.0,12.9,0.0,78.0,0.4,2.52,48.7,382.35,0.0,0.0,0.0,78.0,149.0,1824.0,3.91,523.4,16.8,0.0
1900.0,12.7,29.0,8.0,1807.0,53.0,1.0,12.9,0.0,78.0,0.4,2.496,48.2,382.35,0.0,0.0,0.0,78.0,146.0,1824.0,3.52,617.2,16.8,0.0
2000.0,12.7,29.0,8.0,1799.0,64.0,3.0,12.9,0.0,78.0,1.6,2.484,48.2,382.35,0.0,0.0,0.0,78.0,151.0,1824.0,3.52,718.8,16.8,0.0
2100.0,12.0,29.0,15.0,2401.0,598.0,137.0,12.9,0.0,78.0,83.9,0.632,92.3,387.25,0.0,0.0,0.203,79.0,162.0,1824.0,0.78,812.5,16.8,0.0
2200.0,11.8,29.0,24.0,3445.0,791.0,185.0,12.8,-120.0,78.0,100.0,7.376,96.5,387.25,0.0,0.0,0.117,79.0,187.0,2112.0,19.92,914.1,16.8,0.0
2300.0,11.8,29.0,26.0,5031.0,791.0,185.0,12.9,-120.0,78.0,100.0,7.304,95.5,392.16,0.0,0.0,0.031,80.0,191.0,2112.0,28.12,7.8,16.8,0.0
2400.0,11.8,29.0,27.0,5675.0,791.0,185.0,12.8,-120.0,78.0,100.0,5.38,90.9,392.16,0.0,0.0,0.0,80.0,169.0,2112.0,25.39,109.4,16.7,1.0
2500.0,11.8,29.0,27.0,5896.0,791.0,185.0,12.8,-120.0,78.0,100.0,5.464,88.9,387.25,0.0,0.0,0.0,79.0,174.0,2112.0,26.56,203.1,16.7,1.0
2600.0,11.8,29.0,27.0,6080.0,791.0,185.0,12.8,-120.0,78.0,100.0,5.508,87.4,387.25,0.0,0.0,0.0,79.0,178.0,2112.0,27.73,304.7,16.7,1.0
2700.0,11.8,29.0,28.0,6206.0,792.0,185.0,12.8,-120.0,78.0,100.0,5.52,86.3,392.16,0.0,0.0,0.0,80.0,179.0,2112.0,28.52,398.4,16.7,1.0
2800.0,11.8,29.0,28.0,6446.0,791.0,185.0,12.8,-120.0,78.0,100.0,5.62,85.8,392.16,0.0,0.0,0.0,80.0,184.0,2112.0,30.08,593.8,16.7,1.0
2900.0,11.8,29.0,28.0,6496.0,791.0,185.0,12.8,-120.0,78.0,100.0,5.788,85.8,387.25,0.0,0.0,0.0,79.0,189.0,2112.0,31.25,695.3,16.7,1.0
3000.0,11.8,29.0,28.0,6530.0,791.0,185.0,12.8,-120.0,78.0,100.0,5.836,85.8,392.16,0.51,0.0,0.0,80.0,190.0,2112.0,31.64,789.1,16.7,1.0
3100.0,11.8,29.0,28.0,6524.0,791.0,185.0,12.8,-120.0,78.0,100.0,5.836,86.3,392.16,0.71,0.0,0.0,80.0,190.0,2112.0,31.64,890.6,16.7,1.0
3200.0,11.8,29.0,28.0,6496.0,792.0,185.0,12.8,-120.0,78.0,100.0,5.804,85.8,392.16,0.81,0.0,0.0,80.0,190.0,2112.0,31.25,984.4,16.7,1.0
3300.0,11.8,29.0,28.0,6462.0,791.0,185.0,12.8,-120.0,78.0,100.0,5.704,85.8,392.16,0.0,0.0,0.0,80.0,187.0,2112.0,30.47,85.9,16.7,1.0
3400.0,11.8,29.0,28.0,6393.0,791.0,185.0,12.8,-120.0,78.0,100.0,5.592,85.3,392.16,0.0,0.0,0.0,80.0,183.0,2112.0,29.69,179.7,16.8,1.0
3500.0,11.8,29.0,28.0,6326.0,790.0,185.0,12.8,-120.0,78.0,100.0,5.576,86.3,392.16,0.0,0.0,0.0,80.0,182.0,2112.0,29.3,281.2,16.8,1.0
3600.0,11.8,29.0,28.0,6284.0,792.0,185.0,12.8,-120.0,78.0,100.0,5.548,86.3,392.16,0.0,0.0,0.0,80.0,181.0,2112.0,28.91,375.0,16.8,1.0
3700.0,11.8,29.0,28.0,6284.0,791.0,185.0,12.8,-120.0,78.0,100.0,5.548,86.3,392.16,0.0,0.0,0.0,80.0,181.0,2112.0,28.91,476.6,16.8,1.0
3800.0,11.8,29.0,28.0,6578.0,791.0,185.0,12.8,-120.0,78.0,100.0,5.656,85.8,387.25,0.0,0.0,0.0,79.0,190.0,2112.0,30.47,570.3,16.8,1.0
3900.0,11.8,29.0,29.0,6906.0,791.0,185.0,12.8,-120.0,78.0,100.0,6.584,87.9,392.16,0.0,0.0,0.0,80.0,212.0,2112.0,37.89,671.9,16.8,1.0
4000.0,11.8,29.0,30.0,7295.0,791.0,185.0,12.8,-120.0,78.0,100.0,7.164,86.3,392.16,0.0,0.0,0.0,80.0,237.0,2112.0,42.97,765.6,16.8,1.0
4100.0,11.6,29.0,28.0,7755.0,791.0,185.0,12.7,-120.0,78.0,100.0,7.872,88.4,392.16,0.0,0.0,0.0,80.0,245.0,2112.0,50.78,867.2,16.8,1.0
4200.0,11.5,29.0,28.0,8241.0,791.0,185.0,12.7,-120.0,78.0,100.0,8.144,90.4,387.25,0.0,0.0,0.0,79.0,246.0,2112.0,55.47,960.9,16.8,1.0
4300.0,11.5,29.0,28.0,8610.0,791.0,185.0,12.7,-120.0,78.0,100.0,8.428,92.4,392.16,0.0,0.0,0.0,80.0,248.0,2112.0,60.16,62.5,16.8,1.0
4400.0,11.5,29.0,29.0,8792.0,792.0,185.0,12.7,-120.0,78.0,100.0,8.516,93.5,392.16,0.0,0.0,0.0,80.0,248.0,2112.0,62.11,156.2,16.7,4.0
4500.0,11.5,29.0,29.0,8860.0,791.0,185.0,12.7,-120.0,78.0,100.0,8.548,93.5,392.16,0.0,0.0,0.0,80.0,249.0,2112.0,62.89,257.8,16.7,4.0
4600.0,11.5,29.0,29.0,8860.0,791.0,185.0,12.7,-120.0,78.0,100.0,8.548,93.5,392.16,0.0,0.0,0.0,80.0,249.0,2112.0,62.89,257.8,16.7,4.0
4700.0,11.5,29.0,29.0,8813.0,792.0,185.0,12.7,-120.0,78.0,100.0,8.516,93.5,392.16,0.0,0.0,0.0,80.0,248.0,2112.0,62.5,453.1,16.7,4.0
4800.0,11.5,29.0,29.0,8813.0,792.0,185.0,12.7,-120.0,78.0,100.0,8.516,93.5,392.16,0.0,0.0,0.0,80.0,248.0,2112.0,62.5,453.1,16.7,4.0
4900.0,11.5,29.0,29.0,8710.0,792.0,185.0,12.7,-120.0,78.0,100.0,8.516,93.5,392.16,0.0,0.0,0.0,80.0,248.0,2112.0,61.72,648.4,16.7,4.0
5000.0,11.5,29.0,29.0,8726.0,792.0,185.0,12.7,-120.0,78.0,100.0,8.516,93.5,392.16,0.0,0.0,0.0,80.0,248.0,2112.0,61.72,742.2,16.7,4.0
