Time,Dec_FC_En,AFR_Target,T_Air,SA,RPM,TPS_AD,TPS_indx,Volt_Batt,Inj_Angle,T_Eng,TPS_Percent,Cyl1_Comn_FuelPW,P_Atm,Cyl1_Eng_AP,NBO2_Volt,Avg_Fuel_Consump,AFR_WBO2,Acc_Fuel_Mult,NBO2_AD,Cyl1_Final_VM,ISC_Air_Flow,Idle_Desir_RPM,Cyl1_Injector_Period_Rate,iAF_B_AFR,MapNum,MGU_A,MGU_Temp,TimeCount,BMS_Imon,BMS_MOSFET,BMS_Shunt,BMS_Balance,PH_GPS_Altitude,PH_GPS_Speed
0.0,0.0,12.8,30.0,6.0,1807.0,139.0,0.0,12.2,0.0,74.0,0.0,3.26,102.0,50.7,382.35,0.08,25.6,0.0,78.0,178.0,7.42,1792.0,5.08,25.5,1.0,-240.0,-240.0,437.5,-500.0,-60.0,-60.0,-60.0,19.5,1.0
100.0,0.0,12.8,30.0,8.0,1891.0,140.0,0.0,12.7,0.0,74.0,0.0,3.208,102.0,50.7,382.35,0.08,25.6,0.0,78.0,180.0,7.42,1792.0,4.69,25.5,1.0,-240.0,-240.0,539.1,-500.0,-60.0,-60.0,-60.0,19.5,1.0
200.0,0.0,12.8,30.0,7.0,1819.0,139.0,0.0,12.8,0.0,74.0,0.0,3.192,102.0,50.7,382.35,0.08,25.6,0.0,78.0,178.0,7.42,1792.0,4.69,25.5,1.0,-240.0,-240.0,632.8,-500.0,-60.0,-60.0,-60.0,19.5,1.0
300.0,0.0,12.8,30.0,7.0,1879.0,140.0,0.0,12.8,0.0,74.0,0.0,3.192,102.0,50.7,382.35,0.08,25.6,0.0,78.0,180.0,7.42,1792.0,4.69,25.5,1.0,-240.0,-240.0,734.4,-500.0,-60.0,-60.0,-60.0,19.5,1.0
400.0,0.0,12.8,30.0,6.0,1876.0,140.0,0.0,12.2,0.0,74.0,0.0,3.26,102.0,50.7,382.35,0.08,25.6,0.0,78.0,180.0,7.42,1792.0,5.08,25.5,1.0,-240.0,-240.0,929.7,-500.0,-60.0,-60.0,-60.0,19.5,1.0
500.0,0.0,12.8,30.0,8.0,1807.0,139.0,0.0,12.2,0.0,74.0,0.0,3.26,102.0,50.7,382.35,0.08,25.6,0.0,78.0,178.0,7.42,1792.0,4.69,25.5,1.0,-240.0,-240.0,23.4,-500.0,-60.0,-60.0,-60.0,19.5,1.0
600.0,0.0,12.8,30.0,6.0,1896.0,140.0,0.0,12.2,0.0,74.0,0.0,3.26,102.0,50.7,382.35,0.08,25.6,0.0,78.0,180.0,7.42,1792.0,5.08,25.5,1.0,-240.0,-240.0,125.0,-500.0,-60.0,-60.0,-60.0,19.5,1.0
700.0,0.0,12.8,30.0,7.0,1815.0,139.0,0.0,12.7,0.0,74.0,0.0,3.224,102.0,50.7,382.35,0.08,25.6,0.0,78.0,178.0,7.42,1792.0,4.69,25.5,1.0,-240.0,-240.0,218.8,-500.0,-60.0,-60.0,-60.0,19.5,1.0
800.0,0.0,12.8,30.0,6.0,1867.0,140.0,0.0,12.7,0.0,74.0,0.0,3.192,102.0,50.7,382.35,0.08,25.6,0.0,78.0,180.0,7.42,1792.0,4.69,25.5,1.0,-240.0,-240.0,320.3,-500.0,-60.0,-60.0,-60.0,19.5,1.0
900.0,0.0,12.8,30.0,7.0,1824.0,139.0,0.0,12.8,0.0,74.0,0.0,3.192,102.0,50.7,382.35,0.08,25.6,0.0,78.0,178.0,7.42,1792.0,4.69,25.5,1.0,-240.0,-240.0,414.1,-500.0,-60.0,-60.0,-60.0,19.5,1.0
